cases,deaths,year,state,population,abbreviation,cases_per_10k,deaths_per_10k
758576,13120,2021,Arizona,7174064,AZ,1057.3867197170252,18.288100022525587
295268,4868,2021,Arkansas,3011873,AR,980.3467808901636,16.162700087287877
3324064,40928,2021,California,39346023,CA,844.8284595370668,10.402067827795456
397138,5711,2021,Colorado,5684926,CO,698.5807730830622,10.045865152862147
250023,7046,2021,Connecticut,3570549,CT,700.236854332485,19.733660005786223
78071,1090,2021,Delaware,967679,DE,806.7861346582906,11.264065873083945
36872,913,2021,District of Columbia,701974,DC,525.2616193762162,13.006179716057861
1721369,26478,2021,Florida,21216924,FL,811.318832079523,12.479660105300843
885249,13778,2021,Georgia,10516579,GA,841.765178581362,13.101218561663446
25786,407,2021,Hawaii,1420074,HI,181.58208656731972,2.86604782567669
162762,1727,2021,Idaho,1754367,ID,927.7534290145677,9.844006413709332
1128750,21242,2021,Illinois,12716164,IL,887.6497660772541,16.704723216844325
629793,9974,2021,Indiana,6696893,IN,940.4256570920276,14.893473734760283
319408,4901,2021,Iowa,3150011,IA,1013.9901098758069,15.558675826846319
277633,3779,2021,Kansas,2912619,KS,953.2074054313318,12.97457717607418
366857,3977,2021,Kentucky,4461952,KY,822.1894811956739,8.913139361427465
400626,8859,2021,Louisiana,4664616,LA,858.8616940815707,18.991917019536015
39324,590,2021,Maine,1340825,ME,293.28212108216957,4.400275949508698
354649,7127,2021,Maryland,6037624,MD,587.3982878032816,11.804312424887671
524025,14577,2021,Massachusetts,6873003,MA,762.4396497426235,21.209069747241493
607901,15516,2021,Michigan,9973907,MI,609.4913457685138,15.556591815022939
461875,6268,2021,Minnesota,5600166,MN,824.7523376985611,11.192525364426697
275001,6045,2021,Mississippi,2981835,MS,922.254249480605,20.272751510395445
499530,7176,2021,Missouri,6124160,MO,815.6710471313617,11.717525342251019
93961,1234,2021,Montana,1061705,MT,885.0010125223108,11.622814246895325
191763,2025,2021,Nebraska,1923826,NE,996.7793345136203,10.525899951450912
278447,4271,2021,Nevada,3030281,NV,918.8817802705427,14.09440246630593
65695,1057,2021,New Hampshire,1355244,NH,484.7466581663523,7.799333551744188
696831,21484,2021,New Jersey,8885418,NJ,784.2411015441254,24.17894127209322
174064,3285,2021,New Mexico,2097021,NM,830.053680912113,15.665079176603381
1420164,43178,2021,New York,19514849,NY,727.7350698434817,22.12571565375679
758158,9381,2021,North Carolina,10386227,NC,729.9647889459762,9.032153832185644
97655,1447,2021,North Dakota,760394,ND,1284.2684187408106,19.029608334626523
895792,11178,2021,Ohio,11675275,OH,767.2555892687752,9.574078554894852
389472,3547,2021,Oklahoma,3949342,OK,986.1693416270356,8.981242951357467
142417,1972,2021,Oregon,4176346,OR,341.0086233276649,4.721830997719059
848244,21715,2021,Pennsylvania,12794885,PA,662.9555482522899,16.97162577076699
114438,2154,2021,Rhode Island,1057798,RI,1081.8511662907285,20.363056084432
443386,7042,2021,South Carolina,5091517,SC,870.8327989477399,13.830848448507588
108250,1778,2021,South Dakota,879336,SD,1231.0425138968494,20.219802214398136
713290,9557,2021,Tennessee,6772268,TN,1053.2512889330428,14.111963673026525
2372960,37242,2021,Texas,28635442,TX,828.6793687347309,13.005561429783413
346624,1665,2021,Utah,3151239,UT,1099.9609994671937,5.283636055532443
11965,174,2021,Vermont,624340,VT,191.64237434731075,2.7869430118204823
504779,6464,2021,Virginia,8509358,VA,593.2045637285445,7.596342755822473
315769,4369,2021,Washington,7512465,WA,420.32675027437733,5.815667693626526
121001,2024,2021,West Virginia,1807426,WV,669.4658591831698,11.198245460671695
592140,6437,2021,Wisconsin,5806975,WI,1019.7047516133616,11.084945259795331
51912,596,2021,Wyoming,581348,WY,892.9591225909437,10.25203492572435
460860,7688,2021,Alabama,4893186,AL,941.8403469641253,15.7116447239079
54091,253,2021,Alaska,736990,AK,733.9448296449069,3.432882400032565
762458,13124,2021,Arizona,7174064,AZ,1062.7978785803973,18.293675662776355
296494,4895,2021,Arkansas,3011873,AR,984.417337650027,16.252345301412113
3341656,41284,2021,California,39346023,CA,849.2995594497568,10.492547112067717
399384,5737,2021,Colorado,5684926,CO,702.531572090824,10.091600136923507
253954,7119,2021,Connecticut,3570549,CT,711.2463657549581,19.938110357818925
78495,1101,2021,Delaware,967679,DE,811.1677529428664,11.377739932353599
37008,916,2021,District of Columbia,701974,DC,527.19901306886,13.048916341630887
1727099,26684,2021,Florida,21216924,FL,814.0195063148644,12.576752407653439
888462,13821,2021,Georgia,10516579,GA,844.8203546039068,13.14210638269346
25870,407,2021,Hawaii,1420074,HI,182.17360503748395,2.86604782567669
163291,1737,2021,Idaho,1754367,ID,930.768761610313,9.901007029885992
1131212,21273,2021,Illinois,12716164,IL,889.5858845482019,16.729101637883875
631502,9989,2021,Indiana,6696893,IN,942.977586770462,14.91587218132349
320187,4906,2021,Iowa,3150011,IA,1016.4631171129244,15.574548787289949
279587,3809,2021,Kansas,2912619,KS,959.9161441987435,13.077577259504247
368623,3995,2021,Kentucky,4461952,KY,826.1473902005222,8.9534804498121
401591,8912,2021,Louisiana,4664616,LA,860.9304602994115,19.10553837657805
39543,595,2021,Maine,1340825,ME,294.91544384986855,4.437566423657077
355812,7154,2021,Maryland,6037624,MD,589.3245422371449,11.84903200331786
526423,14607,2021,Massachusetts,6873003,MA,765.9286632058795,21.252718789734267
610524,15527,2021,Michigan,9973907,MI,612.1212078676891,15.567620592411782
462596,6270,2021,Minnesota,5600166,MN,826.0397995345138,11.196096687133917
275706,6056,2021,Mississippi,2981835,MS,924.6185654135793,20.309641546229084
501226,7182,2021,Missouri,6124160,MO,818.4404065210576,11.727322604242868
94146,1235,2021,Montana,1061705,MT,886.7434927781258,11.632233059088918
192112,2031,2021,Nebraska,1923826,NE,998.593427887969,10.557087803158913
279228,4281,2021,Nevada,3030281,NV,921.4590990076498,14.127402706217675
66058,1059,2021,New Hampshire,1355244,NH,487.4251426311425,7.81409104190832
700346,21513,2021,New Jersey,8885418,NJ,788.1970212318655,24.211579016316396
174550,3297,2021,New Mexico,2097021,NM,832.3712542697474,15.72230321012522
1429096,43354,2021,New York,19514849,NY,732.3120973162539,22.215903387210428
763358,9397,2021,North Carolina,10386227,NC,734.9714193614293,9.047558848848576
97708,1447,2021,North Dakota,760394,ND,1284.9654258187204,19.029608334626523
899079,11233,2021,Ohio,11675275,OH,770.0709405131785,9.621186652991042
390868,3564,2021,Oklahoma,3949342,OK,989.7041076716071,9.024288096599383
143373,1980,2021,Oregon,4176346,OR,343.29770569775593,4.740986498724004
851911,21741,2021,Pennsylvania,12794885,PA,665.8215372783734,16.991946391077374
115956,2173,2021,Rhode Island,1057798,RI,1096.2017322778072,20.542674499290037
445916,7283,2021,South Carolina,5091517,SC,875.8018484471328,14.3041847842205
108315,1778,2021,South Dakota,879336,SD,1231.7817080160485,20.219802214398136
715439,9660,2021,Tennessee,6772268,TN,1056.42452425096,14.26405452353628
2412150,37405,2021,Texas,28635442,TX,842.365206026853,13.062483896703952
347210,1669,2021,Utah,3151239,UT,1101.820585490342,5.296329475485674
12083,175,2021,Vermont,624340,VT,193.53237018291316,2.80295992568152
507640,6474,2021,Virginia,8509358,VA,596.5667445182115,7.608094523699673
317703,4404,2021,Washington,7512465,WA,422.90113830813186,5.862256928984029
121425,2028,2021,West Virginia,1807426,WV,671.8117366907414,11.220376380554447
592921,6439,2021,Wisconsin,5806975,WI,1021.0496859380314,11.088389393789367
52057,596,2021,Wyoming,581348,WY,895.4533257188466,10.25203492572435
462938,7894,2021,Alabama,4893186,AL,946.0870688340889,16.13263832603134
54223,269,2021,Alaska,736990,AK,735.7358987231848,3.6499816822480633
766445,13415,2021,Arizona,7174064,AZ,1068.3553980003524,18.699303491019876
298004,4939,2021,Arkansas,3011873,AR,989.4308292547528,16.398433798503458
3354544,41858,2021,California,39346023,CA,852.575112864647,10.638432250192098
400383,5747,2021,Colorado,5684926,CO,704.2888509014892,10.109190515408644
256522,7133,2021,Connecticut,3570549,CT,718.4385370429029,19.97732001437314
78696,1108,2021,Delaware,967679,DE,813.2448880258847,11.450077970070653
37138,921,2021,District of Columbia,701974,DC,529.0509335103579,13.120144050919263
1737632,26821,2021,Florida,21216924,FL,818.9839394249609,12.641323501936474
893441,14024,2021,Georgia,10516579,GA,849.5547839273588,13.335134933137478
25932,407,2021,Hawaii,1420074,HI,182.61020200355756,2.86604782567669
163781,1743,2021,Idaho,1754367,ID,933.5617918029694,9.935207399591988
1133691,21336,2021,Illinois,12716164,IL,891.5353718306873,16.77864488064168
633043,10054,2021,Indiana,6696893,IN,945.2786538473887,15.012932116430708
321274,4919,2021,Iowa,3150011,IA,1019.9138987133696,15.615818484443388
279734,3809,2021,Kansas,2912619,KS,960.4208446075509,13.077577259504247
370943,4028,2021,Kentucky,4461952,KY,831.3469082589862,9.027439111850597
404194,8953,2021,Louisiana,4664616,LA,866.5107695896082,19.19343414334642
39960,618,2021,Maine,1340825,ME,298.0254693938433,4.609102604739619
356717,7188,2021,Maryland,6037624,MD,590.8234762548976,11.905345546526249
528662,14652,2021,Massachusetts,6873003,MA,769.186336743924,21.318192353473435
611976,15599,2021,Michigan,9973907,MI,613.5770064830161,15.639808953502373
463200,6278,2021,Minnesota,5600166,MN,827.1183389920941,11.210381977962795
276531,6132,2021,Mississippi,2981835,MS,927.3853181011021,20.564518157443317
502819,7410,2021,Missouri,6124160,MO,821.0415795798933,12.099618559933116
94460,1250,2021,Montana,1061705,MT,889.7009998069144,11.773515241992833
192553,2036,2021,Nebraska,1923826,NE,1000.8857349885072,10.58307767958225
280025,4328,2021,Nevada,3030281,NV,924.0892181286157,14.282503833802872
66384,1066,2021,New Hampshire,1355244,NH,489.8306135278961,7.865742257482785
703496,21584,2021,New Jersey,8885418,NJ,791.742155518176,24.291485217690376
174982,3312,2021,New Mexico,2097021,NM,834.4313194765336,15.793833252027518
1437045,43524,2021,New York,19514849,NY,736.3854058004753,22.30301653884178
766378,9477,2021,North Carolina,10386227,NC,737.8791162565578,9.124583932163238
97823,1447,2021,North Dakota,760394,ND,1286.4777996670148,19.029608334626523
902736,11339,2021,Ohio,11675275,OH,773.2032007811379,9.71197680568552
392164,3602,2021,Oklahoma,3949342,OK,992.9856669794614,9.120506656551902
143978,2001,2021,Oregon,4176346,OR,344.7463404612549,4.791269688861986
856214,21866,2021,Pennsylvania,12794885,PA,669.1845999397415,17.089641681031132
116191,2186,2021,Rhode Island,1057798,RI,1098.4233284615777,20.66557130945606
447904,7318,2021,South Carolina,5091517,SC,879.7063822039679,14.372926575714075
108431,1779,2021,South Dakota,879336,SD,1233.1008852133882,20.231174431616584
717472,9806,2021,Tennessee,6772268,TN,1059.4264727857787,14.479639612608361
2430370,37760,2021,Texas,28635442,TX,848.7279504887684,13.186456140610646
348409,1687,2021,Utah,3151239,UT,1105.625438121323,5.3534498652752145
12196,176,2021,Vermont,624340,VT,195.3422814492104,2.8189768395425565
510380,6517,2021,Virginia,8509358,VA,599.7867289165646,7.658627125571635
318967,4402,2021,Washington,7512465,WA,424.5836752650428,5.8595946869636
121935,2031,2021,West Virginia,1807426,WV,674.6334289757922,11.236974570466508
594217,6485,2021,Wisconsin,5806975,WI,1023.2814847661648,11.167604475652126
52128,624,2021,Wyoming,581348,WY,896.6746251814748,10.73367415042281
465056,8203,2021,Alabama,4893186,AL,950.415537034562,16.76412872921651
54447,269,2021,Alaska,736990,AK,738.7752886742018,3.6499816822480633
769297,13593,2021,Arizona,7174064,AZ,1072.3308294991514,18.94741948217914
300430,4985,2021,Arkansas,3011873,AR,997.485617753471,16.551162681826224
3367104,42434,2021,California,39346023,CA,855.7673033434662,10.784825698902276
401751,5759,2021,Colorado,5684926,CO,706.6952146782561,10.13029896959081
257004,7157,2021,Connecticut,3570549,CT,719.7884695042694,20.044536568466082
78982,1130,2021,Delaware,967679,DE,816.2004135668956,11.677426088609963
37199,926,2021,District of Columbia,701974,DC,529.9199115636761,13.191371760207643
1744611,27018,2021,Florida,21216924,FL,822.2732946585472,12.73417390758434
898639,14153,2021,Georgia,10516579,GA,854.4974558741964,13.457798396227519
26000,411,2021,Hawaii,1420074,HI,183.0890502889286,2.894215371874987
164257,1750,2021,Idaho,1754367,ID,936.2750211329784,9.975107830915652
1137037,21420,2021,Illinois,12716164,IL,894.1666685016015,16.84470253765208
634470,10091,2021,Indiana,6696893,IN,947.4094927304349,15.06818161795328
322308,4975,2021,Iowa,3150011,IA,1023.1964269331123,15.793595641412047
281866,3895,2021,Kansas,2912619,KS,967.7407172033143,13.372844165337108
372774,4067,2021,Kentucky,4461952,KY,835.4504934163344,9.11484480335064
406235,9006,2021,Louisiana,4664616,LA,870.8862637353213,19.307055500388458
40233,627,2021,Maine,1340825,ME,300.06152928234485,4.6762254582067015
357660,7220,2021,Maryland,6037624,MD,592.385348938589,11.958346528369438
531117,14708,2021,Massachusetts,6873003,MA,772.7582833879165,21.399670566126623
613637,15633,2021,Michigan,9973907,MI,615.2423518687311,15.673897901795153
463834,6302,2021,Minnesota,5600166,MN,828.2504482902827,11.253237850449432
277322,6158,2021,Mississippi,2981835,MS,930.038047041503,20.651712787595557
504315,7491,2021,Missouri,6124160,MO,823.484363569861,12.231881596823074
94890,1304,2021,Montana,1061705,MT,893.7510890501599,12.282131100446922
193128,2042,2021,Nebraska,1923826,NE,1003.8745707771908,10.61426553129025
280835,4376,2021,Nevada,3030281,NV,926.762237561467,14.440904985379243
66721,1076,2021,New Hampshire,1355244,NH,492.31725062055244,7.939529708303449
705807,21693,2021,New Jersey,8885418,NJ,794.3430461009262,24.414158118391278
175652,3340,2021,New Mexico,2097021,NM,837.6263280148363,15.927355996911809
1444199,43687,2021,New York,19514849,NY,740.0513321932442,22.38654267834714
777071,9625,2021,North Carolina,10386227,NC,748.1744814551039,9.267080336295365
97961,1447,2021,North Dakota,760394,ND,1288.292648284968,19.029608334626523
906727,11431,2021,Ohio,11675275,OH,776.6215356811724,9.79077580613733
394283,3654,2021,Oklahoma,3949342,OK,998.351117730498,9.252174159644822
144605,2011,2021,Oregon,4176346,OR,346.2476528525175,4.815214065118168
859345,22010,2021,Pennsylvania,12794885,PA,671.6316715625032,17.20218665505786
116704,2198,2021,Rhode Island,1057798,RI,1103.2730256627447,20.779014518840082
450794,7394,2021,South Carolina,5091517,SC,885.3824901301517,14.522194465814414
108639,1782,2021,South Dakota,879336,SD,1235.466306394825,20.265291083271922
719332,9939,2021,Tennessee,6772268,TN,1062.172967756149,14.676028769091833
2448334,38203,2021,Texas,28635442,TX,855.0012952480357,13.341159532302663
350000,1699,2021,Utah,3151239,UT,1110.6742459077207,5.391530125134907
12329,179,2021,Vermont,624340,VT,197.4725309927283,2.8670275811256687
513339,6575,2021,Virginia,8509358,VA,603.2640770314282,7.726787379259399
320502,4466,2021,Washington,7512465,WA,426.6269460157219,5.9447864316173185
122470,2058,2021,West Virginia,1807426,WV,677.5934395101099,11.386358279675074
595756,6500,2021,Wisconsin,5806975,WI,1025.9317458745734,11.193435480607373
52288,624,2021,Wyoming,581348,WY,899.4268493226089,10.73367415042281
467823,8365,2021,Alabama,4893186,AL,956.0703394475502,17.0952013677796
54631,269,2021,Alaska,736990,AK,741.2719304196801,3.6499816822480633
773636,13792,2021,Arizona,7174064,AZ,1078.3790052611741,19.224807584654947
302899,5009,2021,Arkansas,3011873,AR,1005.6831745561649,16.630847316603322
3381785,43062,2021,California,39346023,CA,859.4985571985254,10.944435222843232
403412,5774,2021,Colorado,5684926,CO,709.6169765446375,10.156684537318515
257941,7185,2021,Connecticut,3570549,CT,722.4127158036481,20.122955881574516
79225,1135,2021,Delaware,967679,DE,818.7115768762161,11.729096115550716
37365,932,2021,District of Columbia,701974,DC,532.2846715120503,13.276845011353696
1752322,27246,2021,Florida,21216924,FL,825.9076574907842,12.841635290770709
904450,14315,2021,Georgia,10516579,GA,860.0230169906011,13.611840884759198
26101,413,2021,Hawaii,1420074,HI,183.8002808304356,2.908299144974135
164696,1749,2021,Idaho,1754367,ID,938.7773481831338,9.969407769297987
1140341,21497,2021,Illinois,12716164,IL,896.7649363440107,16.905255389911613
636830,11637,2021,Indiana,6696893,IN,950.9335149897124,17.376714843734252
323216,5033,2021,Iowa,3150011,IA,1026.0789565496755,15.977721982558155
281951,3895,2021,Kansas,2912619,KS,968.0325507730328,13.372844165337108
375851,4117,2021,Kentucky,4461952,KY,842.34657835853,9.22690338219685
408995,9044,2021,Louisiana,4664616,LA,876.8031494982652,19.388519869588407
40534,630,2021,Maine,1340825,ME,302.3064158260772,4.698599742695729
359214,7251,2021,Maryland,6037624,MD,594.959209119349,12.009691229530027
533921,14784,2021,Massachusetts,6873003,MA,776.8380138929082,21.510248140441668
616705,15714,2021,Michigan,9973907,MI,618.3183781440914,15.755109808022073
465244,6319,2021,Minnesota,5600166,MN,830.7682307988728,11.2835940934608
278532,6182,2021,Mississippi,2981835,MS,934.0959509832034,20.732200138505316
505891,7518,2021,Missouri,6124160,MO,826.0577777197199,12.275969275786395
95191,1310,2021,Montana,1061705,MT,896.5861515204318,12.338643973608487
193612,2067,2021,Nebraska,1923826,NE,1006.3903908149698,10.74421491340693
281780,4428,2021,Nevada,3030281,NV,929.8807602331269,14.612506232920314
67117,1085,2021,New Hampshire,1355244,NH,495.2392336730507,8.005938414042047
709096,21793,2021,New Jersey,8885418,NJ,798.0446164716168,24.526702063988434
176211,3357,2021,New Mexico,2097021,NM,840.292014243062,16.008423377734413
1451169,43842,2021,New York,19514849,NY,743.6229714101297,22.465969375422787
783575,9767,2021,North Carolina,10386227,NC,754.436620728586,9.403799859178893
98059,1447,2021,North Dakota,760394,ND,1289.5814538252537,19.029608334626523
910847,11510,2021,Ohio,11675275,OH,780.1503604840143,9.858440165220948
397065,3681,2021,Oklahoma,3949342,OK,1005.3953291459692,9.320539978558454
145322,2018,2021,Oregon,4176346,OR,347.96446463008573,4.831975128497495
862763,22143,2021,Pennsylvania,12794885,PA,674.3030515709988,17.30613444356866
117291,2209,2021,Rhode Island,1057798,RI,1108.8222893217796,20.883004127442103
453878,7487,2021,South Carolina,5091517,SC,891.4396239863287,14.704851226068772
108813,1788,2021,South Dakota,879336,SD,1237.445072190835,20.333524386582603
722288,10107,2021,Tennessee,6772268,TN,1066.537827504759,14.924099282544637
2461907,38610,2021,Texas,28635442,TX,859.741225576333,13.483291090809775
351273,1711,2021,Utah,3151239,UT,1114.7139268078365,5.4296103849946
12503,181,2021,Vermont,624340,VT,200.2594740045488,2.8990614088477433
516398,6650,2021,Virginia,8509358,VA,606.8589428250639,7.814925638338403
321940,4492,2021,Washington,7512465,WA,428.5410980284101,5.979395577882892
123044,2080,2021,West Virginia,1807426,WV,680.7692265132846,11.5080783390302
597475,6549,2021,Wisconsin,5806975,WI,1028.8919790424445,11.277816763461182
52468,624,2021,Wyoming,581348,WY,902.5231014813846,10.73367415042281
469319,8449,2021,Alabama,4893186,AL,959.1276522086018,17.266868661849355
54880,269,2021,Alaska,736990,AK,744.6505379991587,3.6499816822480633
777038,13965,2021,Arizona,7174064,AZ,1083.121087294454,19.46595402550075
304723,5050,2021,Arkansas,3011873,AR,1011.7392067992242,16.76697523434753
3395797,43631,2021,California,39346023,CA,863.0597811626349,11.089049584503115
405200,5804,2021,Colorado,5684926,CO,712.76213621778,10.20945567277393
259372,7214,2021,Connecticut,3570549,CT,726.4205028414399,20.204175884436818
79546,1191,2021,Delaware,967679,DE,822.0287926058124,12.307800417287137
37634,940,2021,District of Columbia,701974,DC,536.1167222717651,13.390809346215102
1763865,27456,2021,Florida,21216924,FL,831.348125675522,12.940612880547624
909170,14413,2021,Georgia,10516579,GA,864.5111685083144,13.705027081525275
26221,413,2021,Hawaii,1420074,HI,184.6453072163845,2.908299144974135
165058,1760,2021,Idaho,1754367,ID,940.8407704887289,10.032108447092313
1143961,21603,2021,Illinois,12716164,IL,899.6117068008874,16.988613861853306
638314,11686,2021,Indiana,6696893,IN,953.1494679696988,17.449883102507386
323797,5067,2021,Iowa,3150011,IA,1027.9233945532253,16.08565811357484
284554,4101,2021,Kansas,2912619,KS,976.9695246786483,14.08011140489024
378276,4149,2021,Kentucky,4461952,KY,847.7814194325713,9.298620872658423
409861,9076,2021,Louisiana,4664616,LA,878.6596795963484,19.457121443651523
40799,632,2021,Maine,1340825,ME,304.28281095594133,4.7135159323550795
360762,7287,2021,Maryland,6037624,MD,597.5231316160132,12.069317334103614
537208,14859,2021,Massachusetts,6873003,MA,781.6204939820337,21.619370746673617
618398,15739,2021,Michigan,9973907,MI,620.0158072458465,15.780175211178527
466292,6341,2021,Minnesota,5600166,MN,832.6396038974559,11.32287864324022
279742,6222,2021,Mississippi,2981835,MS,938.1538549249037,20.866345723354915
507708,7540,2021,Missouri,6124160,MO,829.0247152262514,12.311892569756505
95539,1312,2021,Montana,1061705,MT,899.8638981638026,12.357481597995678
194089,2076,2021,Nebraska,1923826,NE,1008.869825025756,10.790996690968933
282700,4466,2021,Nevada,3030281,NV,932.9167823050074,14.737907144584941
67595,1091,2021,New Hampshire,1355244,NH,498.76627382227844,8.050210884534446
713324,21886,2021,New Jersey,8885418,NJ,802.8029744914645,24.631367933393793
176793,3380,2021,New Mexico,2097021,NM,843.0673798688711,16.11810277531794
1459066,44012,2021,New York,19514849,NY,747.6696335185582,22.55308252705414
788516,9880,2021,North Carolina,10386227,NC,759.1938824368078,9.512597789360852
98120,1451,2021,North Dakota,760394,ND,1290.3836695186967,19.082212642393287
914530,11571,2021,Ohio,11675275,OH,783.3048900347101,9.910687328563997
399727,3710,2021,Oklahoma,3949342,OK,1012.1356924773797,9.393969932206428
146137,2022,2021,Oregon,4176346,OR,349.9159312949646,4.841552878999968
867502,22273,2021,Pennsylvania,12794885,PA,678.0068754037258,17.40773754512057
117891,2212,2021,Rhode Island,1057798,RI,1114.494449790981,20.911364929788103
459974,7553,2021,South Carolina,5091517,SC,903.4124800133241,14.834478604313803
108944,1798,2021,South Dakota,879336,SD,1238.9348326464515,20.44724655876707
724749,10307,2021,Tennessee,6772268,TN,1070.1717652048028,15.219421322369405
2476282,39039,2021,Texas,28635442,TX,864.7612284105829,13.633105436263214
352489,1729,2021,Utah,3151239,UT,1118.5727264736188,5.4867307747841405
12612,181,2021,Vermont,624340,VT,202.00531761540185,2.8990614088477433
521467,6732,2021,Virginia,8509358,VA,612.8159139620169,7.911290134931448
323334,4526,2021,Washington,7512465,WA,430.3966807166489,6.02465369223018
123641,2100,2021,West Virginia,1807426,WV,684.0722663057851,11.618732938443953
598902,6579,2021,Wisconsin,5806975,WI,1031.3493686471872,11.329478773371678
52576,624,2021,Wyoming,581348,WY,904.3808527766502,10.73367415042281
471311,8513,2021,Alabama,4893186,AL,963.1986194679704,17.397662790664405
54880,269,2021,Alaska,736990,AK,744.6505379991587,3.6499816822480633
780200,14039,2021,Arizona,7174064,AZ,1087.5286309126877,19.56910337013999
306064,5061,2021,Arkansas,3011873,AR,1016.1915857673946,16.803497358620366
3407369,43987,2021,California,39346023,CA,866.0008662120692,11.179528868775378
406577,5819,2021,Colorado,5684926,CO,715.1843313351835,10.235841240501635
259372,7214,2021,Connecticut,3570549,CT,726.4205028414399,20.204175884436818
79832,1202,2021,Delaware,967679,DE,824.9843181468235,12.42147447655679
37877,947,2021,District of Columbia,701974,DC,539.5783889431802,13.490528139218831
1771351,27598,2021,Florida,21216924,FL,834.876441090141,13.00754058411106
913596,14642,2021,Georgia,10516579,GA,868.7197614357292,13.922778500499069
26325,413,2021,Hawaii,1420074,HI,185.37766341754022,2.908299144974135
165259,1769,2021,Idaho,1754367,ID,941.9864828738798,10.083409001651308
1146952,21676,2021,Illinois,12716164,IL,901.9638312308649,17.046021111398062
641133,11752,2021,Indiana,6696893,IN,957.3588826938104,17.548436267385487
324306,5108,2021,Iowa,3150011,IA,1029.5392619263869,16.21581638921261
284554,4101,2021,Kansas,2912619,KS,976.9695246786483,14.08011140489024
380166,4202,2021,Kentucky,4461952,KY,852.0172337129579,9.417402966235406
409861,9076,2021,Louisiana,4664616,LA,878.6596795963484,19.457121443651523
41064,634,2021,Maine,1340825,ME,306.2592060858054,4.728432122014431
362263,7329,2021,Maryland,6037624,MD,600.0092089205953,12.1388811227728
540827,14921,2021,Massachusetts,6873003,MA,786.886023474746,21.709578767825363
619463,15843,2021,Michigan,9973907,MI,621.0835934203117,15.884447288309385
467285,6357,2021,Minnesota,5600166,MN,834.4127656215906,11.351449224897976
280778,6266,2021,Mississippi,2981835,MS,941.6282255725082,21.013905866689473
508465,7557,2021,Missouri,6124160,MO,830.2608031142231,12.33965147873341
95753,1313,2021,Montana,1061705,MT,901.8795239732318,12.36690041018927
194422,2081,2021,Nebraska,1923826,NE,1010.6007507955502,10.816986567392268
283459,4498,2021,Nevada,3030281,NV,935.4215005143088,14.843507912302522
68061,1098,2021,New Hampshire,1355244,NH,502.20476903052145,8.10186210010891
717834,21964,2021,New Jersey,8885418,NJ,807.8787064378963,24.719152210959574
177214,3388,2021,New Mexico,2097021,NM,845.0749897115957,16.156252130999164
1470558,44210,2021,New York,19514849,NY,753.5584825688377,22.654543727189488
792618,9962,2021,North Carolina,10386227,NC,763.1433435837673,9.591548499758382
98131,1453,2021,North Dakota,760394,ND,1290.5283313650552,19.108514796276665
918079,11652,2021,Ohio,11675275,OH,786.344647128226,9.980064709396567
401780,3761,2021,Oklahoma,3949342,OK,1017.3340267821831,9.523105367932176
146741,2032,2021,Oregon,4176346,OR,351.36217162083796,4.86549725525615
871435,22422,2021,Pennsylvania,12794885,PA,681.0807600068308,17.52419033074545
117891,2212,2021,Rhode Island,1057798,RI,1114.494449790981,20.911364929788103
462981,7611,2021,South Carolina,5091517,SC,909.3183819282151,14.948393573074586
109132,1804,2021,South Dakota,879336,SD,1241.0728094835194,20.51547986207775
727428,10365,2021,Tennessee,6772268,TN,1074.1276039282557,15.305064713918588
2484782,39330,2021,Texas,28635442,TX,867.7295779125742,13.734727754507858
353700,1733,2021,Utah,3151239,UT,1122.4156593644595,5.499424194737372
12766,182,2021,Vermont,624340,VT,204.47192235000162,2.915078322708781
526176,6773,2021,Virginia,8509358,VA,618.3498214553906,7.959472383227971
323748,4527,2021,Washington,7512465,WA,430.9477648148777,6.025984813240394
124190,2119,2021,West Virginia,1807426,WV,687.1097350596926,11.723854807887017
600016,6615,2021,Wisconsin,5806975,WI,1033.2677512818636,11.391473185264273
52618,624,2021,Wyoming,581348,WY,905.1033116136978,10.73367415042281
472423,8515,2021,Alabama,4893186,AL,965.4711674561319,17.401750107189876
54880,269,2021,Alaska,736990,AK,744.6505379991587,3.6499816822480633
780872,14051,2021,Arizona,7174064,AZ,1088.4653384748171,19.585830290892304
306736,5076,2021,Arkansas,3011873,AR,1018.4227555411534,16.85330025535605
3417563,44152,2021,California,39346023,CA,868.5917252678879,11.221464492103815
407701,5828,2021,Colorado,5684926,CO,717.1614898769132,10.251672581138259
259372,7214,2021,Connecticut,3570549,CT,726.4205028414399,20.204175884436818
80594,1208,2021,Delaware,967679,DE,832.8588302525941,12.483478508885694
38035,952,2021,District of Columbia,701974,DC,541.829184556693,13.561755848507211
1777975,27695,2021,Florida,21216924,FL,837.9984770648186,13.053258804150875
917063,14642,2021,Georgia,10516579,GA,872.016460866219,13.922778500499069
26398,415,2021,Hawaii,1420074,HI,185.8917211356591,2.9223829180732834
165259,1769,2021,Idaho,1754367,ID,941.9864828738798,10.083409001651308
1148947,21738,2021,Illinois,12716164,IL,903.5327005848619,17.094777953477166
642865,11817,2021,Indiana,6696893,IN,959.9451566569751,17.64549620249271
324590,5108,2021,Iowa,3150011,IA,1030.440846079585,16.21581638921261
284560,4101,2021,Kansas,2912619,KS,976.9901246953343,14.08011140489024
381271,4224,2021,Kentucky,4461952,KY,854.4937283054592,9.466708740927738
