cases,deaths,year,state,population,abbreviation,cases_per_10k,deaths_per_10k
92898,1317,2021,North Dakota,760394,ND,1221.7087457291877,17.319968332206727
714673,9017,2021,Ohio,11675275,OH,612.1251961945222,7.723158555151806
296055,2527,2021,Oklahoma,3949342,OK,749.6312043879715,6.398534236842492
116348,1503,2021,Oregon,4176346,OR,278.58802886542446,3.598839751304131
661731,16270,2021,Pennsylvania,12794885,PA,517.1840153311265,12.716018940381254
87949,1777,2021,Rhode Island,1057798,RI,831.4347351762813,16.7990485896173
312718,5385,2021,South Carolina,5091517,SC,614.1941586368071,10.576415634083123
99829,1501,2021,South Dakota,879336,SD,1135.27707270031,17.069698044888415
589406,6908,2021,Tennessee,6772268,TN,870.3229110247852,10.200423255547477
1792363,28508,2021,Texas,28635442,TX,625.9246845220688,9.955495012090262
281747,1294,2021,Utah,3151239,UT,894.0832478907503,4.106321354870259
7689,139,2021,Vermont,624340,VT,123.15405067751546,2.2263510266841786
358755,5117,2021,Virginia,8509358,VA,421.60054847851035,6.0133796227635505
253290,3524,2021,Washington,7512465,WA,337.1596406771945,4.690870439995394
89327,1373,2021,West Virginia,1807426,WV,494.2221700916109,7.596438249754071
523652,5259,2021,Wisconsin,5806975,WI,901.7638271216942,9.056350337309873
44573,438,2021,Wyoming,581348,WY,766.7180415173011,7.534213586354473
371934,4873,2021,Alabama,4893186,AL,760.1059922921386,9.958746714308429
47846,207,2021,Alaska,736990,AK,649.2082660551704,2.8087219636630074
556384,9061,2021,Arizona,7174064,AZ,775.5492563211034,12.630219078056733
233475,3749,2021,Arkansas,3011873,AR,775.1820876909485,12.447403990805721
2433916,26635,2021,California,39346023,CA,618.5926338730601,6.7694262263812535
342494,4997,2021,Colorado,5684926,CO,602.4599088888756,8.789912129023314
190120,6099,2021,Connecticut,3570549,CT,532.4671360062556,17.081406808868888
59484,930,2021,Delaware,967679,DE,614.707976508739,9.61062501097988
29764,794,2021,District of Columbia,701974,DC,424.00430785185773,11.31096023499446
1365428,21986,2021,Florida,21216924,FL,643.5560593043554,10.362482327787006
667705,10616,2021,Georgia,10516579,GA,634.907035833611,10.094537396619184
