state,cases,deaths,year
Alaska,48302,209,2021
Arizona,571676,9354,2021
Arkansas,238888,3836,2021
California,2511923,27486,2021
Colorado,348483,5058,2021
Connecticut,196968,6192,2021
Delaware,61100,947,2021
District of Columbia,30166,801,2021
Florida,1392115,22187,2021
Georgia,682749,10725,2021
Guam,8326,124,2021
Hawaii,22199,287,2021
Idaho,145134,1474,2021
Illinois,994511,18569,2021
Indiana,536084,8663,2021
Iowa,288298,3999,2021
Kansas,234700,2897,2021
Kentucky,284545,3093,2021
Louisiana,326648,7635,2021
Maine,26565,369,2021
Maryland,289927,6082,2021
Massachusetts,397202,12734,2021
Michigan,544276,13598,2021
Minnesota,425320,5520,2021
Mississippi,225444,4975,2021
Missouri,432830,6123,2021
Montana,83529,1006,2021
Nebraska,172067,1747,2021
Nevada,235710,3246,2021
New Hampshire,47992,792,2021
New Jersey,551419,19382,2021
New Mexico,148499,2596,2021
New York,1048538,38315,2021
North Carolina,578309,7080,2021
North Dakota,93501,1336,2021
Northern Mariana Islands,122,2,2021
Ohio,735003,9247,2021
Oklahoma,308268,2571,2021
Oregon,119508,1550,2021
Pennsylvania,679760,16583,2021
Puerto Rico,112934,1562,2021
Rhode Island,93852,1870,2021
South Carolina,328073,5498,2021
South Dakota,101076,1513,2021
Tennessee,602397,7200,2021
Texas,1862478,28949,2021
Utah,288951,1314,2021
Vermont,8038,149,2021
Virgin Islands,2042,23,2021
Virginia,371913,5191,2021
Washington,263713,3611,2021
West Virginia,93162,1442,2021
Wisconsin,531890,5370,2021
Wyoming,45569,464,2021
Alabama,384184,4994,2021
Alaska,48636,211,2021
Arizona,578623,9467,2021
Arkansas,242593,3901,2021
California,2548830,28040,2021
Colorado,350560,5080,2021
Connecticut,199454,6230,2021
Delaware,61729,947,2021
District of Columbia,30482,806,2021
Florida,1409898,22316,2021
Georgia,690137,10814,2021
Guam,8347,124,2021
Hawaii,22325,297,2021
Idaho,146322,1495,2021
Illinois,1001955,18738,2021
Indiana,542235,8743,2021
Iowa,290776,4060,2021
Kansas,239988,3027,2021
Kentucky,289992,3135,2021
Louisiana,333524,7681,2021
Maine,27090,372,2021
Maryland,293079,6132,2021
Massachusetts,404053,12836,2021
Michigan,548875,13657,2021
Minnesota,427655,5596,2021
Mississippi,228235,5013,2021
Missouri,435687,6167,2021
Montana,84155,1015,2021
Nebraska,173625,1756,2021
Nevada,237775,3301,2021
New Hampshire,48838,816,2021
New Jersey,557271,19523,2021
New Mexico,149984,2643,2021
New York,1064554,38486,2021
North Carolina,584694,7149,2021
North Dakota,93839,1341,2021
Northern Mariana Islands,124,2,2021
Ohio,742817,9368,2021
Oklahoma,311573,2633,2021
Oregon,120243,1571,2021
Pennsylvania,689162,16960,2021
Puerto Rico,113227,1570,2021
Rhode Island,95463,1890,2021
South Carolina,333235,5582,2021
South Dakota,101684,1519,2021
Tennessee,610347,7312,2021
Texas,1887800,29278,2021
Utah,292720,1333,2021
Vermont,8158,152,2021
Virgin Islands,2042,23,2021
Virginia,377300,5226,2021
Washington,265790,3681,2021
West Virginia,94678,1481,2021
Wisconsin,535999,5442,2021
Wyoming,45890,464,2021
Alabama,389230,5080,2021
Alaska,48961,214,2021
Arizona,588383,9764,2021
Arkansas,245916,3926,2021
California,2589250,28554,2021
Colorado,354998,5164,2021
Connecticut,202758,6287,2021
Delaware,62949,949,2021
District of Columbia,30750,808,2021
Florida,1429714,22480,2021
Georgia,699806,10878,2021
Guam,8355,124,2021
Hawaii,22611,297,2021
Idaho,147500,1519,2021
Illinois,1010808,18944,2021
Indiana,549514,8823,2021
Iowa,293189,4065,2021
Kansas,240540,3027,2021
Kentucky,294951,3161,2021
Louisiana,338054,7728,2021
Maine,27625,385,2021
Maryland,296049,6173,2021
Massachusetts,411601,12909,2021
Michigan,553222,13863,2021
Minnesota,429638,5640,2021
Mississippi,231490,5061,2021
Missouri,440563,6238,2021
Montana,84848,1039,2021
Nebraska,174590,1881,2021
Nevada,241144,3349,2021
New Hampshire,49261,827,2021
New Jersey,564750,19646,2021
New Mexico,151819,2682,2021
New York,1082142,38683,2021
North Carolina,595308,7262,2021
North Dakota,94163,1348,2021
Northern Mariana Islands,125,2,2021
Ohio,753068,9462,2021
Oklahoma,315354,2672,2021
Oregon,121087,1577,2021
Pennsylvania,699018,17220,2021
Puerto Rico,113513,1588,2021
Rhode Island,96591,1910,2021
South Carolina,338112,5661,2021
South Dakota,102132,1544,2021
Tennessee,620557,7424,2021
Texas,1910426,29645,2021
Utah,297317,1362,2021
Vermont,8403,155,2021
Virgin Islands,2042,23,2021
Virginia,382679,5275,2021
Washington,269033,3719,2021
West Virginia,96002,1518,2021
Wisconsin,540508,5485,2021
Wyoming,46168,489,2021
Alabama,394287,5191,2021
Alaska,49366,214,2021
Arizona,602146,9970,2021
Arkansas,248860,3966,2021
California,2640221,29228,2021
Colorado,357465,5207,2021
Connecticut,205994,6324,2021
Delaware,63503,957,2021
District of Columbia,31107,809,2021
Florida,1449244,22665,2021
Georgia,712785,10958,2021
Guam,8368,125,2021
Hawaii,22894,301,2021
Idaho,148578,1526,2021
Illinois,1020011,19110,2021
Indiana,555613,8892,2021
Iowa,294762,4124,2021
Kansas,245415,3148,2021
Kentucky,299476,3194,2021
Louisiana,341431,7833,2021
Maine,28407,426,2021
Maryland,299781,6216,2021
Massachusetts,419721,12985,2021
Michigan,557079,13903,2021
Minnesota,432012,5688,2021
Mississippi,233665,5101,2021
Missouri,445310,6276,2021
Montana,85668,1049,2021
Nebraska,175655,1808,2021
Nevada,244103,3409,2021
New Hampshire,50152,846,2021
New Jersey,571771,19756,2021
New Mexico,153456,2712,2021
New York,1101702,38846,2021
North Carolina,605187,7383,2021
North Dakota,94446,1360,2021
Northern Mariana Islands,125,2,2021
Ohio,762603,9544,2021
Oklahoma,320586,2703,2021
Oregon,122847,1590,2021
Pennsylvania,709235,17427,2021
Puerto Rico,115682,1592,2021
Rhode Island,97614,1916,2021
South Carolina,344176,5695,2021
South Dakota,102580,1556,2021
Tennessee,627776,7549,2021
Texas,1934504,30109,2021
Utah,301110,1383,2021
Vermont,8619,156,2021
Virgin Islands,2042,23,2021
Virginia,387917,5312,2021
Washington,273142,3768,2021
West Virginia,97898,1554,2021
Wisconsin,544618,5530,2021
Wyoming,46647,489,2021
Alabama,399150,5299,2021
Alaska,49681,215,2021
Arizona,611900,10083,2021
Arkansas,251746,4010,2021
California,2687450,29699,2021
Colorado,360857,5262,2021
Connecticut,205994,6324,2021
Delaware,64475,969,2021
District of Columbia,31457,813,2021
Florida,1464689,22803,2021
Georgia,724317,11096,2021
Guam,8373,125,2021
Hawaii,23122,305,2021
Idaho,149316,1530,2021
Illinois,1026639,19212,2021
Indiana,561579,8966,2021
Iowa,296171,4127,2021
Kansas,245521,3148,2021
Kentucky,303769,3214,2021
Louisiana,341431,7833,2021
Maine,29019,432,2021
Maryland,303535,6246,2021
Massachusetts,427135,13074,2021
Michigan,559830,14134,2021
Minnesota,434481,5731,2021
Mississippi,236868,5146,2021
Missouri,448586,6309,2021
Montana,86116,1054,2021
Nebraska,176645,1812,2021
Nevada,246659,3457,2021
New Hampshire,50871,862,2021
New Jersey,579182,19854,2021
New Mexico,154954,2734,2021
New York,1119541,39041,2021
North Carolina,614715,7468,2021
North Dakota,94566,1360,2021
Northern Mariana Islands,125,2,2021
Ohio,770977,9599,2021
Oklahoma,324875,2738,2021
Oregon,124476,1607,2021
Pennsylvania,718642,17681,2021
Puerto Rico,116245,1616,2021
Rhode Island,97614,1916,2021
South Carolina,350084,5758,2021
South Dakota,102901,1570,2021
Tennessee,634222,7634,2021
Texas,1952047,30441,2021
Utah,303723,1392,2021
Vermont,8790,156,2021
Virgin Islands,2042,23,2021
Virginia,393715,5381,2021
Washington,275832,3775,2021
West Virginia,99778,1570,2021
Wisconsin,548134,5568,2021
Wyoming,46719,489,2021
Alabama,401900,5334,2021
Alaska,49935,215,2021
Arizona,618546,10141,2021
Arkansas,255076,4043,2021
California,2729858,30000,2021
Colorado,363019,5279,2021
Connecticut,205994,6324,2021
Delaware,65273,972,2021
District of Columbia,31791,817,2021
Florida,1477002,22911,2021
Georgia,732121,11097,2021
Guam,8381,125,2021
Hawaii,23300,306,2021
Idaho,149742,1536,2021
Illinois,1031288,19295,2021
Indiana,566670,8985,2021
Iowa,296682,4138,2021
Kansas,245529,3148,2021
Kentucky,306823,3224,2021
Louisiana,346829,7873,2021
Maine,29298,432,2021
Maryland,306853,6272,2021
Massachusetts,432791,13151,2021
Michigan,559886,14134,2021
Minnesota,436640,5775,2021
Mississippi,239082,5167,2021
Missouri,450886,6316,2021
Montana,86324,1056,2021
Nebraska,177001,1815,2021
Nevada,248758,3470,2021
New Hampshire,51600,869,2021
New Jersey,584828,19886,2021
New Mexico,156157,2751,2021
New York,1135849,39208,2021
North Carolina,623503,7609,2021
North Dakota,94724,1360,2021
Northern Mariana Islands,125,2,2021
Ohio,777065,9627,2021
Oklahoma,331362,2761,2021
Oregon,125683,1607,2021
Pennsylvania,725506,17780,2021
Puerto Rico,116734,1630,2021
Rhode Island,97614,1916,2021
South Carolina,354525,5811,2021
South Dakota,103318,1585,2021
Tennessee,641123,7715,2021
Texas,1966081,30599,2021
Utah,305999,1393,2021
Vermont,8967,156,2021
Virgin Islands,2042,23,2021
Virginia,398856,5383,2021
Washington,276333,3776,2021
West Virginia,101212,1582,2021
Wisconsin,550260,5571,2021
Wyoming,46832,489,2021
Alabama,404000,5347,2021
Alaska,50111,215,2021
Arizona,627771,10147,2021
Arkansas,256344,4081,2021
California,2770482,30381,2021
Colorado,364815,5291,2021
Connecticut,213358,6416,2021
Delaware,65827,986,2021
