state,cases,deaths,year
Pennsylvania,1218500,27742,2021
Puerto Rico,174237,2554,2021
Rhode Island,152729,2730,2021
South Carolina,598918,9846,2021
South Dakota,124641,2039,2021
Tennessee,856874,12508,2021
Texas,3010721,52768,2021
Utah,419047,2393,2021
Vermont,24457,258,2021
Virgin Islands,4005,32,2021
Virginia,682433,11450,2021
Washington,457092,6050,2021
West Virginia,164465,2908,2021
Wisconsin,678815,8182,2021
Wyoming,62966,751,2021
Alabama,554605,11402,2021
Alaska,71118,362,2021
Arizona,901439,18033,2021
Arkansas,355460,5948,2021
California,3907428,63877,2021
Colorado,565835,7003,2021
Connecticut,349969,8279,2021
Delaware,110074,1695,2021
District of Columbia,49455,1143,2021
Florida,2361360,38157,2021
Georgia,1114789,20791,2021
Guam,9400,142,2021
Hawaii,37025,518,2021
Idaho,195910,2167,2021
Illinois,1399525,25755,2021
Indiana,760422,13914,2021
Iowa,374671,6149,2021
Kansas,321812,5208,2021
Kentucky,467690,7301,2021
Louisiana,487558,10781,2021
Maine,69219,862,2021
Maryland,463403,9762,2021
Massachusetts,710830,18011,2021
Michigan,1000337,21045,2021
Minnesota,606390,7715,2021
Mississippi,324057,7439,2021
Missouri,648163,10016,2021
Montana,114348,1673,2021
Nebraska,225200,2524,2021
Nevada,338072,5720,2021
New Hampshire,99708,1375,2021
New Jersey,1026071,26505,2021
New Mexico,206252,4356,2021
New York,2118565,53151,2021
North Carolina,1018556,13496,2021
North Dakota,110888,1563,2021
Northern Mariana Islands,185,2,2021
Ohio,1114267,20380,2021
Oklahoma,460682,7406,2021
Oregon,210287,2822,2021
Pennsylvania,1218649,27746,2021
Puerto Rico,174323,2554,2021
Rhode Island,152729,2730,2021
South Carolina,598918,9846,2021
South Dakota,124641,2039,2021
Tennessee,856874,12508,2021
Texas,3011151,52772,2021
Utah,419047,2393,2021
Vermont,24457,258,2021
Virgin Islands,4005,32,2021
Virginia,682673,11450,2021
Washington,457092,6050,2021
West Virginia,164465,2908,2021
Wisconsin,678815,8182,2021
Wyoming,62966,751,2021
Alabama,555215,11402,2021
Alaska,71291,364,2021
Arizona,901561,18035,2021
Arkansas,357473,5955,2021
California,3914148,63954,2021
Colorado,566209,7005,2021
Connecticut,350039,8279,2021
Delaware,110093,1695,2021
District of Columbia,49526,1144,2021
Florida,2361360,38157,2021
Georgia,1116470,20804,2021
Guam,9423,142,2021
Hawaii,37025,518,2021
Idaho,196207,2167,2021
Illinois,1400975,25781,2021
Indiana,761263,13923,2021
Iowa,374671,6149,2021
Kansas,322458,5219,2021
Kentucky,468427,7310,2021
Louisiana,489951,10789,2021
Maine,69219,862,2021
Maryland,463482,9761,2021
Massachusetts,711162,18012,2021
Michigan,1000363,21045,2021
Minnesota,606577,7717,2021
Mississippi,324853,7441,2021
Missouri,648835,10017,2021
Montana,114433,1674,2021
Nebraska,225371,2524,2021
Nevada,339745,5730,2021
New Hampshire,99770,1375,2021
New Jersey,1026286,26509,2021
New Mexico,206551,4360,2021
New York,2119207,53153,2021
North Carolina,1020283,13512,2021
North Dakota,110889,1563,2021
Northern Mariana Islands,185,2,2021
Ohio,1114491,20380,2021
Oklahoma,461893,7406,2021
Oregon,210794,2826,2021
Pennsylvania,1218886,27747,2021
Puerto Rico,174462,2555,2021
Rhode Island,152819,2731,2021
South Carolina,600027,9856,2021
South Dakota,124641,2039,2021
Tennessee,857933,12519,2021
Texas,3012965,52796,2021
Utah,420285,2399,2021
Vermont,24489,258,2021
Virgin Islands,4033,32,2021
Virginia,682856,11450,2021
Washington,458724,6051,2021
West Virginia,164625,2910,2021
Wisconsin,679156,8185,2021
Wyoming,63138,751,2021
Alabama,555215,11402,2021
Alaska,71291,364,2021
Arizona,901906,18055,2021
Arkansas,358949,5970,2021
California,3918797,63972,2021
Colorado,566809,7015,2021
Connecticut,350245,8279,2021
Delaware,110112,1695,2021
District of Columbia,49536,1144,2021
Florida,2376643,38211,2021
Georgia,1117534,20830,2021
Guam,9436,143,2021
Hawaii,37135,518,2021
Idaho,196387,2167,2021
Illinois,1401519,25796,2021
Indiana,761838,13933,2021
Iowa,374948,6149,2021
Kansas,322505,5219,2021
Kentucky,468857,7313,2021
Louisiana,490904,10798,2021
Maine,69284,862,2021
Maryland,463600,9765,2021
Massachusetts,711446,18012,2021
Michigan,1001061,21077,2021
Minnesota,606963,7720,2021
Mississippi,325072,7451,2021
Missouri,651166,10068,2021
Montana,114523,1676,2021
Nebraska,225473,2527,2021
Nevada,340600,5731,2021
New Hampshire,99800,1381,2021
New Jersey,1026649,26517,2021
New Mexico,206666,4361,2021
New York,2119875,53159,2021
North Carolina,1020940,13515,2021
North Dakota,110930,1563,2021
Northern Mariana Islands,187,2,2021
Ohio,1114835,20411,2021
Oklahoma,462070,7406,2021
Oregon,211112,2829,2021
Pennsylvania,1219161,27756,2021
Puerto Rico,174559,2555,2021
Rhode Island,152842,2731,2021
South Carolina,600283,9856,2021
South Dakota,124641,2039,2021
Tennessee,858502,12526,2021
Texas,3018297,52824,2021
Utah,420756,2402,2021
Vermont,24497,258,2021
Virgin Islands,4043,32,2021
Virginia,683202,11459,2021
Washington,459282,6070,2021
West Virginia,164685,2909,2021
Wisconsin,679392,8189,2021
Wyoming,63235,760,2021
Alabama,556613,11428,2021
Alaska,71539,364,2021
Arizona,903851,18076,2021
Arkansas,360258,5977,2021
California,3921906,64002,2021
Colorado,567305,7023,2021
Connecticut,350386,8279,2021
Delaware,110182,1696,2021
District of Columbia,49574,1145,2021
Florida,2383068,38282,2021
Georgia,1118774,20832,2021
Guam,9440,143,2021
Hawaii,37175,518,2021
Idaho,196567,2167,2021
Illinois,1402545,25806,2021
Indiana,762419,13938,2021
Iowa,375278,6158,2021
Kansas,322725,5220,2021
Kentucky,469487,7318,2021
Louisiana,492840,10808,2021
Maine,69324,867,2021
Maryland,463704,9769,2021
Massachusetts,711676,18013,2021
Michigan,1001067,21077,2021
Minnesota,607162,7723,2021
Mississippi,325713,7456,2021
Missouri,653318,10083,2021
Montana,114617,1683,2021
Nebraska,225600,2535,2021
Nevada,341292,5737,2021
New Hampshire,99840,1381,2021
New Jersey,1027014,26520,2021
New Mexico,206846,4364,2021
New York,2120600,53170,2021
North Carolina,1021908,13522,2021
North Dakota,110957,1567,2021
Northern Mariana Islands,187,2,2021
Ohio,1115242,20411,2021
Oklahoma,463152,7417,2021
Oregon,211357,2830,2021
Pennsylvania,1219405,27769,2021
Puerto Rico,174589,2555,2021
Rhode Island,152873,2732,2021
South Carolina,600607,9860,2021
South Dakota,124750,2040,2021
Tennessee,859116,12535,2021
Texas,3023065,52855,2021
Utah,421393,2407,2021
Vermont,24516,258,2021
Virgin Islands,4104,32,2021
Virginia,683614,11467,2021
Washington,460015,6076,2021
West Virginia,164763,2916,2021
Wisconsin,679601,8196,2021
Wyoming,63331,760,2021
Alabama,557578,11439,2021
Alaska,71539,364,2021
Arizona,904865,18083,2021
Arkansas,361238,5981,2021
California,3925591,64041,2021
Colorado,567852,7025,2021
Connecticut,350536,8282,2021
Delaware,110231,1696,2021
District of Columbia,49615,1145,2021
Florida,2390079,38327,2021
Georgia,1120085,20851,2021
Guam,9442,143,2021
Hawaii,37318,519,2021
Idaho,196773,2172,2021
Illinois,1403369,25814,2021
Indiana,762976,13939,2021
Iowa,375321,6158,2021
Kansas,322773,5220,2021
Kentucky,470012,7323,2021
Louisiana,494340,10821,2021
Maine,69373,877,2021
Maryland,463882,9773,2021
Massachusetts,711943,18017,2021
Michigan,1001120,21077,2021
Minnesota,607371,7725,2021
Mississippi,326270,7460,2021
Missouri,656203,10095,2021
Montana,114685,1686,2021
Nebraska,225711,2535,2021
Nevada,342230,5752,2021
New Hampshire,99875,1381,2021
New Jersey,1027460,26529,2021
New Mexico,207002,4374,2021
New York,2121529,53175,2021
North Carolina,1022938,13529,2021
North Dakota,110989,1567,2021
Northern Mariana Islands,187,2,2021
Ohio,1115789,20411,2021
Oklahoma,463857,7417,2021
Oregon,211654,2837,2021
Pennsylvania,1219722,27779,2021
Puerto Rico,174715,2559,2021
Rhode Island,152927,2736,2021
South Carolina,601232,9865,2021
South Dakota,124750,2040,2021
Tennessee,859655,12538,2021
Texas,3026074,52892,2021
Utah,422046,2410,2021
Vermont,24529,258,2021
Virgin Islands,4119,32,2021
Virginia,684054,11471,2021
Washington,460730,6086,2021
West Virginia,164843,2917,2021
Wisconsin,679816,8198,2021
Wyoming,63455,760,2021
Alabama,558577,11442,2021
Alaska,71826,364,2021
Arizona,906116,18100,2021
Arkansas,362580,5992,2021
California,3930518,64083,2021
Colorado,568469,7031,2021
Connecticut,350675,8282,2021
Delaware,110270,1697,2021
District of Columbia,49652,1146,2021
Florida,2406809,38388,2021
Georgia,1121132,20862,2021
Guam,9446,143,2021
Hawaii,37455,520,2021
Idaho,196935,2174,2021
Illinois,1403989,25823,2021
Indiana,763522,13940,2021
Iowa,375321,6158,2021
Kansas,324738,5232,2021
Kentucky,470538,7328,2021
Louisiana,495945,10828,2021
Maine,69418,878,2021
Maryland,464065,9778,2021
Massachusetts,712272,18020,2021
Michigan,1002006,21095,2021
Minnesota,607617,7728,2021
Mississippi,326804,7465,2021
Missouri,659027,10103,2021
Montana,114772,1691,2021
Nebraska,225861,2536,2021
Nevada,343096,5758,2021
New Hampshire,99907,1381,2021
New Jersey,1027954,26531,2021
New Mexico,207189,4381,2021
New York,2122158,53176,2021
North Carolina,1023968,13533,2021
North Dakota,111006,1567,2021
Northern Mariana Islands,187,2,2021
Ohio,1116322,20437,2021
Oklahoma,464607,7417,2021
Oregon,212030,2848,2021
Pennsylvania,1220060,27786,2021
Puerto Rico,174899,2560,2021
Rhode Island,152971,2736,2021
South Carolina,601803,9862,2021
South Dakota,124750,2040,2021
Tennessee,860701,12538,2021
Texas,3030756,52919,2021
Utah,422714,2413,2021
Vermont,24550,258,2021
Virgin Islands,4119,32,2021
Virginia,684499,11477,2021
Washington,461401,6093,2021
West Virginia,164933,2919,2021
Wisconsin,680034,8209,2021
Wyoming,63523,760,2021
Alabama,559478,11443,2021
Alaska,71826,364,2021
Arizona,907268,18114,2021
Arkansas,362580,5992,2021
California,3932295,64085,2021
Colorado,568469,7031,2021
Connecticut,350675,8282,2021
Delaware,110339,1697,2021
District of Columbia,49652,1146,2021
Florida,2406809,38395,2021
Georgia,1121132,20862,2021
Guam,9446,143,2021
Hawaii,37577,520,2021
Idaho,196935,2174,2021
Illinois,1403989,25820,2021
Indiana,763522,13940,2021
Iowa,375726,6158,2021
Kansas,324738,5232,2021
Kentucky,470538,7328,2021
Louisiana,495945,10828,2021
Maine,69474,882,2021
Maryland,464248,9780,2021
Massachusetts,712272,18020,2021
Michigan,1002007,21095,2021
Minnesota,607617,7728,2021
Mississippi,326804,7465,2021
Missouri,661038,10111,2021
Montana,114772,1691,2021
Nebraska,225861,2535,2021
Nevada,343096,5758,2021
New Hampshire,99907,1381,2021
New Jersey,1028503,26536,2021
New Mexico,207189,4381,2021
New York,2123579,53181,2021
North Carolina,1024084,13533,2021
North Dakota,111031,1568,2021
Northern Mariana Islands,187,2,2021
Ohio,1116808,20437,2021
Oklahoma,464607,7417,2021
Oregon,212030,2848,2021
Pennsylvania,1220385,27790,2021
Puerto Rico,175098,2560,2021
Rhode Island,152971,2736,2021
South Carolina,601803,9862,2021
South Dakota,124750,2040,2021
Tennessee,860728,12544,2021
Texas,3033389,52947,2021
Utah,422690,2413,2021
Vermont,24550,258,2021
Virgin Islands,4119,32,2021
Virginia,684499,11477,2021
Washington,461412,6093,2021
West Virginia,164933,2919,2021
Wisconsin,680034,8209,2021
Wyoming,63523,760,2021
Alabama,560202,11443,2021
Alaska,71826,364,2021
Arizona,908248,18117,2021
Arkansas,362580,5992,2021
California,3933928,64086,2021
Colorado,568720,7038,2021
Connecticut,350675,8282,2021
Delaware,110387,1697,2021
District of Columbia,49652,1146,2021
Florida,2406809,38395,2021
Georgia,1121132,20862,2021
Guam,9446,143,2021
Hawaii,37717,520,2021
Idaho,196935,2174,2021
Illinois,1403989,25820,2021
Indiana,763522,13940,2021
Iowa,375726,6158,2021
Kansas,324738,5232,2021
Kentucky,470538,7328,2021
Louisiana,495945,10828,2021
Maine,69474,882,2021
Maryland,464414,9781,2021
Massachusetts,712272,18020,2021
Michigan,1002007,21095,2021
Minnesota,607617,7728,2021
Mississippi,326804,7465,2021
Missouri,662027,10111,2021
Montana,114772,1691,2021
Nebraska,225861,2535,2021
Nevada,343096,5758,2021
New Hampshire,99907,1381,2021
New Jersey,1028931,26539,2021
New Mexico,207189,4381,2021
New York,2124722,53191,2021
North Carolina,1024084,13533,2021
North Dakota,111039,1568,2021
Northern Mariana Islands,187,2,2021
Ohio,1117109,20437,2021
Oklahoma,464607,7417,2021
Oregon,212030,2848,2021
Pennsylvania,1220670,27792,2021
Puerto Rico,175283,2561,2021
Rhode Island,152971,2736,2021
South Carolina,601803,9862,2021
South Dakota,124750,2040,2021
Tennessee,860728,12544,2021
Texas,3035135,52956,2021
Utah,422690,2413,2021
Vermont,24550,258,2021
Virgin Islands,4119,32,2021
Virginia,684499,11477,2021
Washington,461412,6093,2021
West Virginia,164933,2919,2021
Wisconsin,680034,8209,2021
Wyoming,63523,760,2021
Alabama,560920,11443,2021
Alaska,72281,364,2021
Arizona,909282,18117,2021
Arkansas,365132,6007,2021
California,3945211,64127,2021
Colorado,569860,7040,2021
Connecticut,351084,8282,2021
Delaware,110423,1697,2021
District of Columbia,49793,1146,2021
Florida,2406809,38395,2021
Georgia,1124350,20868,2021
Guam,9447,144,2021
Hawaii,37839,520,2021
Idaho,197289,2178,2021
Illinois,1406608,25841,2021
Indiana,764833,13952,2021
Iowa,375726,6158,2021
Kansas,325544,5234,2021
Kentucky,471546,7344,2021
Louisiana,499932,10841,2021
Maine,69474,882,2021
Maryland,464553,9782,2021
Massachusetts,713037,18024,2021
Michigan,1002059,21096,2021
Minnesota,607877,7731,2021
Mississippi,329130,7468,2021
Missouri,663552,10116,2021
Montana,114851,1692,2021
Nebraska,226167,2541,2021
Nevada,345163,5761,2021
New Hampshire,99966,1382,2021
New Jersey,1029243,26545,2021
New Mexico,207566,4385,2021
New York,2125663,53195,2021
North Carolina,1026982,13551,2021
North Dakota,111050,1568,2021
Northern Mariana Islands,188,2,2021
Ohio,1117769,20437,2021
Oklahoma,466733,7417,2021
Oregon,212755,2857,2021
Pennsylvania,1221350,27795,2021
Puerto Rico,175520,2561,2021
Rhode Island,153103,2737,2021
South Carolina,603641,9857,2021
South Dakota,124750,2040,2021
Tennessee,862341,12548,2021
Texas,3037688,52966,2021
Utah,424242,2416,2021
Vermont,24579,259,2021
Virgin Islands,4186,32,2021
Virginia,685485,11483,2021
Washington,463232,6096,2021
West Virginia,165177,2919,2021
Wisconsin,680456,8212,2021
Wyoming,63709,760,2021
Alabama,562311,11460,2021
Alaska,72281,364,2021
Arizona,910436,18117,2021
Arkansas,367007,6007,2021
California,3951134,64132,2021
Colorado,570051,7040,2021
Connecticut,351302,8282,2021
Delaware,110457,1697,2021
District of Columbia,49827,1146,2021
Florida,2430826,38422,2021
Georgia,1125870,20875,2021
Guam,9455,144,2021
Hawaii,37936,520,2021
Idaho,197533,2179,2021
Illinois,1407317,25847,2021
Indiana,765490,13958,2021
Iowa,376198,6158,2021
Kansas,325592,5234,2021
Kentucky,472535,7347,2021
Louisiana,501494,10861,2021
Maine,69627,882,2021
Maryland,464710,9788,2021
Massachusetts,713489,18033,2021
Michigan,1003172,21110,2021
Minnesota,608498,7732,2021
Mississippi,329703,7477,2021
Missouri,665981,10153,2021
Montana,115007,1693,2021
Nebraska,226307,2542,2021
Nevada,346167,5761,2021
New Hampshire,100025,1384,2021
New Jersey,1029901,26557,2021
New Mexico,207701,4389,2021
New York,2126775,53200,2021
North Carolina,1027790,13557,2021
North Dakota,111098,1568,2021
Northern Mariana Islands,188,2,2021
Ohio,1118513,20449,2021
Oklahoma,467198,7417,2021
Oregon,213339,2863,2021
Pennsylvania,1221836,27805,2021
Puerto Rico,175708,2562,2021
Rhode Island,153168,2738,2021
South Carolina,603973,9860,2021
South Dakota,124750,2040,2021
Tennessee,863228,12555,2021
Texas,3042473,52992,2021
Utah,424801,2420,2021
Vermont,24590,259,2021
Virgin Islands,4215,32,2021
Virginia,686206,11487,2021
Washington,464014,6106,2021
West Virginia,165259,2919,2021
Wisconsin,680955,8223,2021
Wyoming,63840,766,2021
Alabama,563943,11462,2021
Alaska,72754,365,2021
Arizona,911479,18127,2021
Arkansas,368466,6020,2021
California,3957625,64146,2021
Colorado,570905,7050,2021
Connecticut,351530,8282,2021
Delaware,110502,1697,2021
District of Columbia,49858,1146,2021
Florida,2439814,38480,2021
Georgia,1128030,20897,2021
Guam,9455,144,2021
Hawaii,38066,521,2021
Idaho,197861,2181,2021
Illinois,1408618,25854,2021
Indiana,766200,13964,2021
Iowa,376673,6170,2021
Kansas,327081,5235,2021
Kentucky,473454,7349,2021
Louisiana,506882,10874,2021
Maine,69674,887,2021
Maryland,464954,9792,2021
Massachusetts,714014,18035,2021
Michigan,1003179,21110,2021
Minnesota,608771,7737,2021
Mississippi,330664,7485,2021
Missouri,668695,10164,2021
Montana,115111,1694,2021
Nebraska,226442,2546,2021
Nevada,347098,5789,2021
New Hampshire,100072,1384,2021
New Jersey,1030600,26562,2021
New Mexico,207972,4394,2021
New York,2127867,53207,2021
North Carolina,1029263,13566,2021
North Dakota,111124,1569,2021
Northern Mariana Islands,188,2,2021
Ohio,1119298,20449,2021
Oklahoma,468401,7454,2021
Oregon,213730,2864,2021
Pennsylvania,1222311,27813,2021
Puerto Rico,175794,2565,2021
Rhode Island,153269,2738,2021
South Carolina,604650,9870,2021
South Dakota,124948,2041,2021
Tennessee,864643,12559,2021
Texas,3050283,53035,2021
Utah,425674,2424,2021
Vermont,24609,259,2021
Virgin Islands,4215,32,2021
Virginia,686884,11491,2021
Washington,464963,6112,2021
West Virginia,165398,2920,2021
Wisconsin,681368,8229,2021
Wyoming,63988,766,2021
Alabama,565510,11468,2021
Alaska,72754,365,2021
Arizona,912653,18137,2021
Arkansas,370326,6035,2021
California,3966545,64174,2021
Colorado,571737,7056,2021
Connecticut,351825,8286,2021
Delaware,110573,1697,2021
District of Columbia,49930,1146,2021
Florida,2452461,38566,2021
Georgia,1130107,20909,2021
Guam,9469,144,2021
Hawaii,38284,524,2021
Idaho,198093,2182,2021
Illinois,1410504,25860,2021
Indiana,767052,13963,2021
Iowa,376726,6170,2021
Kansas,327157,5236,2021
Kentucky,474359,7351,2021
Louisiana,509716,10889,2021
Maine,69780,891,2021
Maryland,465257,9798,2021
Massachusetts,714556,18041,2021
Michigan,1003264,21110,2021
Minnesota,609109,7741,2021
Mississippi,331863,7494,2021
Missouri,671940,10179,2021
Montana,115252,1695,2021
Nebraska,226606,2546,2021
Nevada,348040,5797,2021
New Hampshire,100106,1385,2021
New Jersey,1031346,26564,2021
New Mexico,208243,4396,2021
New York,2129478,53214,2021
North Carolina,1031031,13578,2021
North Dakota,111158,1569,2021
Northern Mariana Islands,188,2,2021
Ohio,1120120,20449,2021
Oklahoma,469982,7454,2021
Oregon,214263,2865,2021
Pennsylvania,1223026,27819,2021
Puerto Rico,175974,2566,2021
Rhode Island,153355,2739,2021
South Carolina,605590,9876,2021
South Dakota,124948,2041,2021
Tennessee,865869,12573,2021
Texas,3057841,53070,2021
Utah,426489,2425,2021
Vermont,24647,259,2021
Virgin Islands,4301,35,2021
Virginia,687550,11493,2021
Washington,466437,6114,2021
West Virginia,165524,2934,2021
Wisconsin,681774,8234,2021
Wyoming,64141,766,2021
Alabama,567243,11472,2021
Alaska,73193,367,2021
Arizona,914132,18144,2021
Arkansas,372313,6041,2021
California,3975402,64219,2021
Colorado,572272,7062,2021
Connecticut,352037,8286,2021
Delaware,110638,1698,2021
District of Columbia,49973,1146,2021
Florida,2479975,38670,2021
Georgia,1132526,20917,2021
Guam,9470,144,2021
Hawaii,38499,524,2021
Idaho,198306,2185,2021
Illinois,1411845,25867,2021
Indiana,767812,13965,2021
Iowa,376726,6170,2021
Kansas,328593,5275,2021
Kentucky,475351,7355,2021
Louisiana,512843,10900,2021
Maine,69834,891,2021
Maryland,465545,9801,2021
Massachusetts,715180,18046,2021
Michigan,1004906,21131,2021
Minnesota,609480,7743,2021
Mississippi,333180,7502,2021
Missouri,674977,10193,2021
Montana,115364,1695,2021
Nebraska,226839,2546,2021
Nevada,349043,5817,2021
New Hampshire,100152,1385,2021
New Jersey,1032255,26568,2021
New Mexico,208487,4399,2021
New York,2131176,53216,2021
North Carolina,1032686,13586,2021
North Dakota,111201,1569,2021
Northern Mariana Islands,188,2,2021
Ohio,1120922,20467,2021
Oklahoma,471176,7454,2021
Oregon,214869,2867,2021
Pennsylvania,1223476,27820,2021
Puerto Rico,176747,2567,2021
Rhode Island,153447,2739,2021
South Carolina,606833,9878,2021
South Dakota,124948,2041,2021
Tennessee,867413,12580,2021
Texas,3064653,53118,2021
Utah,426489,2425,2021
Vermont,24676,259,2021
Virgin Islands,4301,35,2021
Virginia,688300,11500,2021
Washington,467489,6124,2021
West Virginia,165702,2936,2021
Wisconsin,682276,8240,2021
Wyoming,64251,766,2021
Alabama,569131,11483,2021
Alaska,73193,367,2021
Arizona,915660,18170,2021
Arkansas,374328,6048,2021
California,3977990,64220,2021
Colorado,572460,7063,2021
Connecticut,352037,8286,2021
Delaware,110729,1698,2021
District of Columbia,49973,1146,2021
Florida,2479975,38670,2021
Georgia,1132526,20917,2021
Guam,9470,144,2021
Hawaii,38741,524,2021
Idaho,198306,2185,2021
Illinois,1411845,25867,2021
Indiana,767812,13965,2021
Iowa,377300,6170,2021
Kansas,328603,5275,2021
Kentucky,475351,7355,2021
Louisiana,512843,10900,2021
Maine,69904,897,2021
Maryland,465862,9806,2021
Massachusetts,715180,18046,2021
Michigan,1004909,21131,2021
Minnesota,609480,7743,2021
Mississippi,333180,7502,2021
Missouri,677560,10203,2021
Montana,115364,1695,2021
Nebraska,226839,2546,2021
Nevada,349043,5817,2021
New Hampshire,100152,1385,2021
New Jersey,1033116,26573,2021
New Mexico,208487,4399,2021
New York,2133044,53219,2021
North Carolina,1032686,13586,2021
North Dakota,111246,1569,2021
Northern Mariana Islands,188,2,2021
Ohio,1121609,20467,2021
Oklahoma,471176,7454,2021
Oregon,214869,2867,2021
Pennsylvania,1224059,27823,2021
Puerto Rico,177114,2567,2021
Rhode Island,153447,2739,2021
South Carolina,606833,9878,2021
South Dakota,124948,2041,2021
Tennessee,867449,12580,2021
Texas,3069699,53141,2021
Utah,426489,2425,2021
Vermont,24676,259,2021
Virgin Islands,4301,35,2021
Virginia,688300,11500,2021
Washington,467489,6124,2021
West Virginia,165702,2936,2021
Wisconsin,682276,8240,2021
Wyoming,64251,766,2021
Alabama,570667,11483,2021
Alaska,73193,367,2021
Arizona,917168,18171,2021
Arkansas,375350,6054,2021
California,3980074,64225,2021
Colorado,572832,7066,2021
Connecticut,352037,8286,2021
Delaware,110797,1698,2021
District of Columbia,49973,1146,2021
Florida,2479975,38670,2021
Georgia,1132526,20917,2021
Guam,9470,144,2021
Hawaii,39000,526,2021
Idaho,198306,2185,2021
Illinois,1411845,25867,2021
Indiana,767812,13965,2021
Iowa,377300,6170,2021
Kansas,328603,5275,2021
Kentucky,475351,7355,2021
Louisiana,512843,10900,2021
Maine,69904,897,2021
Maryland,466168,9807,2021
Massachusetts,715180,18046,2021
Michigan,1004914,21131,2021
Minnesota,609480,7743,2021
Mississippi,333180,7502,2021
Missouri,678909,10203,2021
Montana,115364,1695,2021
Nebraska,226839,2546,2021
Nevada,349043,5817,2021
New Hampshire,100152,1385,2021
New Jersey,1033712,26575,2021
New Mexico,208487,4399,2021
New York,2135076,53228,2021
North Carolina,1032686,13586,2021
North Dakota,111258,1569,2021
Northern Mariana Islands,190,2,2021
Ohio,1122104,20467,2021
Oklahoma,471176,7454,2021
Oregon,214869,2867,2021
Pennsylvania,1224441,27827,2021
Puerto Rico,177521,2568,2021
Rhode Island,153447,2739,2021
South Carolina,606833,9878,2021
South Dakota,124948,2041,2021
Tennessee,867449,12580,2021
Texas,3071097,53156,2021
Utah,426489,2425,2021
Vermont,24676,259,2021
Virgin Islands,4301,35,2021
Virginia,688300,11500,2021
Washington,467489,6124,2021
West Virginia,165702,2936,2021
Wisconsin,682276,8240,2021
Wyoming,64251,766,2021
Alabama,572070,11483,2021
Alaska,73757,367,2021
Arizona,918609,18171,2021
Arkansas,375971,6077,2021
California,3996383,64265,2021
Colorado,574297,7079,2021
Connecticut,352626,8288,2021
Delaware,110862,1698,2021
District of Columbia,50160,1146,2021
Florida,2479975,38670,2021
Georgia,1138366,20931,2021
Guam,9475,144,2021
Hawaii,39156,526,2021
Idaho,198919,2190,2021
Illinois,1415898,25881,2021
Indiana,769712,13965,2021
Iowa,377300,6170,2021
Kansas,329941,5282,2021
Kentucky,477571,7362,2021
Louisiana,520435,10914,2021
Maine,69904,897,2021
Maryland,466424,9808,2021
Massachusetts,716452,18053,2021
Michigan,1004995,21132,2021
Minnesota,609903,7746,2021
Mississippi,336788,7508,2021
Missouri,680646,10194,2021
Montana,115516,1695,2021
Nebraska,227228,2546,2021
Nevada,351443,5837,2021
New Hampshire,100286,1385,2021
New Jersey,1034233,26579,2021
New Mexico,209118,4402,2021
New York,2136602,53235,2021
North Carolina,1038172,13590,2021
North Dakota,111296,1569,2021
Northern Mariana Islands,190,2,2021
Ohio,1122647,20467,2021
Oklahoma,474845,7454,2021
Oregon,215853,2867,2021
Pennsylvania,1225327,27827,2021
Puerto Rico,177815,2568,2021
Rhode Island,153697,2739,2021
South Carolina,610477,9882,2021
South Dakota,124948,2041,2021
Tennessee,871023,12596,2021
Texas,3076397,53171,2021
Utah,428758,2434,2021
Vermont,24748,259,2021
Virgin Islands,4375,35,2021
Virginia,690183,11506,2021
Washington,470553,6134,2021
West Virginia,166108,2936,2021
Wisconsin,683235,8253,2021
Wyoming,64451,766,2021
Alabama,574737,11492,2021
Alaska,73757,367,2021
Arizona,920084,18183,2021
Arkansas,378023,6087,2021
California,4004981,64296,2021
Colorado,574601,7079,2021
Connecticut,353114,8288,2021
Delaware,110943,1698,2021
District of Columbia,50160,1146,2021
Florida,2518296,38748,2021
Georgia,1141877,20946,2021
Guam,9483,144,2021
Hawaii,39304,526,2021
Idaho,199236,2190,2021
Illinois,1417560,25886,2021
Indiana,770770,13980,2021
Iowa,377886,6170,2021
Kansas,330018,5282,2021
Kentucky,478795,7366,2021
Louisiana,527253,10934,2021
Maine,70076,898,2021
Maryland,466733,9810,2021
Massachusetts,717284,18065,2021
Michigan,1006941,21150,2021
Minnesota,610932,7749,2021
Mississippi,338079,7523,2021
Missouri,683116,10251,2021
Montana,115776,1699,2021
Nebraska,227561,2547,2021
Nevada,352567,5854,2021
New Hampshire,100398,1386,2021
New Jersey,1035027,26586,2021
New Mexico,209356,4404,2021
New York,2138250,53236,2021
North Carolina,1040149,13600,2021
North Dakota,111362,1569,2021
Northern Mariana Islands,190,2,2021
Ohio,1123964,20490,2021
Oklahoma,475578,7454,2021
Oregon,216875,2872,2021
Pennsylvania,1226157,27831,2021
Puerto Rico,177936,2569,2021
Rhode Island,153802,2739,2021
South Carolina,611594,9883,2021
South Dakota,124948,2041,2021
Tennessee,872825,12616,2021
Texas,3088278,53210,2021
Utah,429372,2441,2021
Vermont,24760,259,2021
Virgin Islands,4375,35,2021
Virginia,691018,11515,2021
Washington,471529,6141,2021
West Virginia,166297,2936,2021
Wisconsin,684331,8261,2021
Wyoming,64623,776,2021
Alabama,577463,11510,2021
Alaska,74283,369,2021
Arizona,921445,18185,2021
Arkansas,379726,6099,2021
California,4012673,64325,2021
Colorado,575875,7080,2021
Connecticut,353505,8288,2021
