learning_modality,year,student_count,state,population,abbreviation,student_count_per_10k
In Person,2021,5477,Alabama,4893186,AL,11.193116305000466
In Person,2021,2102,Arkansas,3011873,AR,6.979045929227428
In Person,2021,2401,Arizona,7174064,AZ,3.3467780605246897
In Person,2021,5509,California,39346023,CA,1.4001415085839806
In Person,2021,5329,Colorado,5684926,CO,9.373912694729887
In Person,2021,2772,Connecticut,3570549,CT,7.763511997734802
In Person,2021,1790,District of Columbia,701974,DC,25.499519925239397
In Person,2021,3816,Delaware,967679,DE,39.43456456118196
In Person,2021,45343,Florida,21216924,FL,21.371146920260447
In Person,2021,9114,Georgia,10516579,GA,8.66631629924522
In Person,2021,1685,Iowa,3150011,IA,5.349187669503377
In Person,2021,2205,Idaho,1754367,ID,12.568635866953722
In Person,2021,2300,Illinois,12716164,IL,1.808721560999056
In Person,2021,3010,Indiana,6696893,IN,4.494621610349755
In Person,2021,1856,Kansas,2912619,KS,6.372271828206848
In Person,2021,4415,Kentucky,4461952,KY,9.894772512120257
In Person,2021,5847,Louisiana,4664616,LA,12.534793860845138
In Person,2021,2583,Massachusetts,6873003,MA,3.7581825586283024
In Person,2021,37819,Maryland,6037624,MD,62.63887913523598
In Person,2021,1038,Maine,1340825,ME,7.741502433203438
In Person,2021,1965,Michigan,9973907,MI,1.9701406880974528
In Person,2021,2066,Minnesota,5600166,MN,3.689176356558002
In Person,2021,1714,Missouri,6124160,MO,2.798751175671439
In Person,2021,3264,Mississippi,2981835,MS,10.946279723727168
In Person,2021,513,Montana,1061705,MT,4.8318506553138585
In Person,2021,5518,North Carolina,10386227,NC,5.312805121628865
In Person,2021,775,North Dakota,760394,ND,10.192084629810335
In Person,2021,1586,Nebraska,1923826,NE,8.243988801482047
In Person,2021,1396,New Hampshire,1355244,NH,10.300728134564698
In Person,2021,2272,New Jersey,8885418,NJ,2.5569984439674083
In Person,2021,2961,New Mexico,2097021,NM,14.120030271513734
In Person,2021,29473,Nevada,3030281,NV,97.26160709188356
In Person,2021,2989,New York,19514849,NY,1.5316541778007096
In Person,2021,2244,Ohio,11675275,OH,1.9220104023245703
In Person,2021,1534,Oklahoma,3949342,OK,3.8841913412411486
In Person,2021,3344,Oregon,4176346,OR,8.006999420067206
In Person,2021,2704,Pennsylvania,12794885,PA,2.1133445122797117
In Person,2021,2577,Rhode Island,1057798,RI,24.361929215218787
